date,high,low,open,close,volume,quoteVolume,weightedAverage
2018-09-27 17:30:00,6798,6461.06688145,6493.65860092,6481.84667465,5701.87451675,0.87676129,6503.33743264
2018-09-27 21:30:00,6676.99125503,6483.84667465,6483.84667465,6659.7,59127.19961288,9.0253832,6551.21209843
2018-09-28 01:30:00,6717.62262474,6658.07325576,6658.07325576,6677.56700639,6673.00512876,0.99714757,6692.09385804
2018-09-28 05:30:00,6714.55328291,6690,6698.02181375,6690,30886.45910887,4.60017561,6714.19131081
2018-09-28 09:30:00,6775.4359478,6690,6691.05612838,6753.31511461,8028.62225711,1.19596147,6713.1111315
2018-09-28 13:30:00,6728.60090399,6579.86945484,6715.22070085,6631.3505115,23302.34224123,3.49828914,6661.0681132
2018-09-28 17:30:00,6669.123585,6563.56733402,6655.03304376,6650.06580375,60673.49210545,9.12391751,6649.93869562
2018-09-28 21:30:00,6680.76029734,6556.36601026,6643.76210328,6680.76029734,38340.2200344,5.76202178,6653.95263993
2018-09-29 01:30:00,6654.08331186,6618.78132334,6642.5822685,6631.43414236,9651.25502448,1.45494618,6633.41033307
2018-09-29 05:30:00,6611.04695405,6463.10557596,6611.04695405,6475.96775743,10592.89370369,1.63137184,6493.24295293
2018-09-29 09:30:00,6510.40925077,6468.27800465,6475.96775743,6503.183307,561.6343875,0.08659045,6486.1008056
2018-09-29 13:30:00,6570.72823406,6510.36781371,6510.36781371,6570.72823406,52581.88864113,8.03530446,6543.85766001
2018-09-29 17:30:00,6585.39702913,6518.41538201,6571,6518.41538201,2524.17063054,0.38464212,6562.38747474
2018-09-29 21:30:00,6578.017365,6550.62449863,6568.51073055,6578.017365,13581.96302946,2.06737356,6569.6704709
2018-09-30 01:30:00,6590.695111,6565.17165154,6565.17165154,6590.695111,2788.26548886,0.42350652,6583.76047873
2018-09-30 05:30:00,6591.5503021,6553.1877525,6575.0240865,6553.1877525,32865.37503819,5.00764938,6563.03437885
2018-09-30 09:30:00,6572.27276183,6541.00671292,6541.82748014,6572.27276183,2178.55125338,0.33259188,6550.223816
2018-09-30 13:30:00,6636.43404974,6558.31925634,6558.31925634,6602.77386488,27243.85581606,4.14878146,6566.71267906
2018-09-30 17:30:00,6631.36827998,6572.17487115,6620.98863799,6572.17487115,12516.11015578,1.89596873,6601.43279672
2018-09-30 21:30:00,6609.33121959,6568.23509496,6568.23509496,6576.1723125,1385.75373567,0.21033294,6588.38190382
2018-10-01 01:30:00,6618.30667135,6544.15500765,6546.1619935,6609.01072096,1939.13138917,0.29480573,6577.65840973
2018-10-01 05:30:00,6630.57177903,6622.10885473,6630.57177903,6622.10885473,501.2799734,0.07564208,6626.99880021
